Date,Open,High,Low,Close,Volume
12/28/2022,"129.67","131.03","125.87","126.04","85,438,391"
12/27/2022,"131.38","131.41","128.72","130.03","69,007,828"
12/23/2022,"130.92","132.42","129.64","131.86","63,814,887"
12/22/2022,"134.35","134.56","130.30","132.23","77,852,109"
12/21/2022,"132.98","136.81","132.75","135.45","85,927,992"
12/20/2022,"131.39","133.25","129.89","132.30","77,432,812"
12/19/2022,"135.11","135.20","131.32","132.37","79,592,609"
12/16/2022,"136.69","137.65","133.73","134.51","160,156,891"
12/15/2022,"141.11","141.80","136.03","136.50","98,931,914"
12/14/2022,"145.35","146.66","141.16","143.21","82,291,188"
12/13/2022,"149.50","149.97","144.24","145.47","93,886,156"
12/12/2022,"142.70","144.50","141.06","144.49","70,462,648"
12/09/2022,"142.34","145.57","140.90","142.16","76,097,008"
12/08/2022,"142.36","143.52","141.10","142.65","62,128,340"
12/07/2022,"142.19","143.37","140.00","140.94","69,721,086"
12/06/2022,"147.08","147.30","141.92","142.91","64,727,191"
12/05/2022,"147.77","150.92","145.77","146.63","68,826,438"
12/02/2022,"145.96","148.00","145.65","147.81","65,447,449"
12/01/2022,"148.21","149.13","146.61","148.31","71,250,414"
11/30/2022,"141.40","148.72","140.55","148.03","111,380,898"
11/29/2022,"144.29","144.81","140.36","141.17","83,763,797"
11/28/2022,"145.14","146.64","143.38","144.22","69,346,523"
11/25/2022,"148.31","148.88","147.12","148.11","35,195,859"
11/23/2022,"149.45","151.83","149.34","151.07","58,301,398"
11/22/2022,"148.13","150.42","146.93","150.18","51,804,129"
11/21/2022,"150.16","150.37","147.72","148.01","58,724,070"
11/18/2022,"152.31","152.70","149.97","151.29","74,829,570"
11/17/2022,"146.43","151.48","146.15","150.72","80,389,398"
11/16/2022,"149.13","149.87","147.29","148.79","64,218,273"
11/15/2022,"152.22","153.59","148.56","150.04","89,868,328"
11/14/2022,"148.97","150.28","147.43","148.28","73,374,109"
11/11/2022,"145.82","150.01","144.37","149.70","93,979,672"
11/10/2022,"141.24","146.87","139.50","146.87","118,854,000"
11/09/2022,"138.50","138.55","134.59","134.87","74,917,789"
11/08/2022,"140.41","141.43","137.49","139.50","89,908,477"
11/07/2022,"137.11","139.15","135.67","138.92","83,374,633"
11/04/2022,"142.09","142.67","134.38","138.38","140,814,797"
11/03/2022,"142.06","142.80","138.75","138.88","97,918,523"
11/02/2022,"148.95","152.17","145.00","145.03","93,604,625"
11/01/2022,"155.08","155.45","149.13","150.65","80,379,352"
10/31/2022,"153.16","154.24","151.92","153.34","97,943,172"
10/28/2022,"148.20","157.50","147.82","155.74","164,762,406"
10/27/2022,"148.07","149.05","144.13","144.80","109,180,203"
10/26/2022,"150.96","151.99","148.04","149.35","88,436,172"
10/25/2022,"150.09","152.49","149.36","152.34","74,732,289"
10/24/2022,"147.19","150.23","146.00","149.45","75,981,922"
10/21/2022,"142.87","147.85","142.65","147.27","86,548,609"
10/20/2022,"143.02","145.89","142.65","143.39","64,521,992"
10/19/2022,"141.69","144.95","141.50","143.86","61,758,340"
10/18/2022,"145.49","146.70","140.61","143.75","99,136,609"
10/17/2022,"141.07","142.90","140.27","142.41","85,250,945"
10/14/2022,"144.31","144.52","138.19","138.38","88,597,969"
10/13/2022,"134.99","143.59","134.37","142.99","113,224,000"
10/12/2022,"139.13","140.36","138.16","138.34","70,433,742"
10/11/2022,"139.90","141.35","138.22","138.98","77,033,672"
10/10/2022,"140.42","141.89","138.57","140.42","74,899,000"
10/07/2022,"142.54","143.10","139.45","140.09","85,925,562"
10/06/2022,"145.81","147.54","145.22","145.43","68,402,172"
10/05/2022,"144.08","147.38","143.01","146.40","79,470,969"
10/04/2022,"145.03","146.22","144.26","146.10","87,830,062"
10/03/2022,"138.21","143.07","137.69","142.45","114,311,695"
09/30/2022,"141.28","143.10","138.00","138.20","124,925,297"
09/29/2022,"146.10","146.72","140.68","142.48","128,138,203"
09/28/2022,"147.64","150.64","144.84","149.84","146,691,391"
09/27/2022,"152.74","154.72","149.95","151.76","84,442,734"
09/26/2022,"149.66","153.77","149.64","150.77","93,339,406"
09/23/2022,"151.19","151.47","148.56","150.43","96,029,914"
09/22/2022,"152.38","154.47","150.91","152.74","86,652,547"
09/21/2022,"157.34","158.74","153.60","153.72","101,696,797"
09/20/2022,"153.40","158.08","153.08","156.90","107,689,797"
09/19/2022,"149.31","154.56","149.10","154.48","81,474,250"
09/16/2022,"151.21","151.35","148.37","150.70","162,278,797"
09/15/2022,"154.65","155.24","151.38","152.37","90,481,109"
09/14/2022,"154.79","157.10","153.61","155.31","87,965,406"
09/13/2022,"159.90","160.54","153.37","153.84","122,656,602"
09/12/2022,"159.59","164.26","159.30","163.43","104,956,000"
09/09/2022,"155.47","157.82","154.75","157.37","68,081,008"
09/08/2022,"154.64","156.36","152.68","154.46","84,923,852"
09/07/2022,"154.83","156.67","153.61","155.96","87,449,570"
09/06/2022,"156.47","157.09","153.69","154.53","73,714,844"
09/02/2022,"159.75","160.36","154.97","155.81","76,957,766"
09/01/2022,"156.64","158.42","154.67","157.96","74,229,906"
08/31/2022,"160.31","160.58","157.14","157.22","87,991,086"
08/30/2022,"162.13","162.56","157.72","158.91","77,906,203"
08/29/2022,"161.15","162.90","159.82","161.38","73,313,953"
08/26/2022,"170.57","171.05","163.56","163.62","78,960,977"
08/25/2022,"168.78","170.14","168.35","170.03","51,218,207"
08/24/2022,"167.32","168.11","166.25","167.53","53,841,520"
08/23/2022,"167.08","168.71","166.65","167.23","54,147,078"
08/22/2022,"169.69","169.86","167.14","167.57","69,026,805"
08/19/2022,"173.03","173.74","171.31","171.52","70,346,305"
08/18/2022,"173.75","174.90","173.12","174.15","62,290,078"
08/17/2022,"172.77","176.15","172.57","174.55","79,542,039"
08/16/2022,"172.78","173.71","171.66","173.03","56,377,047"
08/15/2022,"171.52","173.39","171.35","173.19","54,091,688"
08/12/2022,"169.82","172.17","169.40","172.10","68,039,375"
08/11/2022,"170.06","170.99","168.19","168.49","57,149,160"
08/10/2022,"167.68","169.34","166.90","169.24","70,170,547"
08/09/2022,"164.02","165.82","163.25","164.92","63,135,500"
08/08/2022,"166.37","167.81","164.20","164.87","60,362,340"
08/05/2022,"163.21","165.85","163.00","165.35","56,696,992"
08/04/2022,"166.01","167.19","164.43","165.81","55,474,141"
08/03/2022,"160.84","166.59","160.75","166.13","82,507,484"
08/02/2022,"160.10","162.41","159.63","160.01","59,907,031"
08/01/2022,"161.01","163.59","160.89","161.51","67,829,375"
07/29/2022,"161.24","163.63","159.50","162.51","101,786,898"
07/28/2022,"156.98","157.64","154.41","157.35","81,378,727"
07/27/2022,"152.58","157.33","152.16","156.79","78,620,688"
07/26/2022,"152.27","153.09","150.80","151.60","55,138,688"
07/25/2022,"154.01","155.04","152.28","152.95","53,623,953"
07/22/2022,"155.39","156.28","153.41","154.09","66,675,406"
07/21/2022,"154.50","155.57","151.94","155.35","65,086,641"
07/20/2022,"151.12","153.72","150.37","153.04","64,823,406"
07/19/2022,"147.92","151.23","146.91","151.00","82,982,367"
07/18/2022,"150.74","151.57","146.70","147.07","81,420,875"
07/15/2022,"149.78","150.86","148.20","150.17","76,259,930"
07/14/2022,"144.08","148.95","143.25","148.47","78,140,734"
07/13/2022,"142.99","146.45","142.12","145.49","71,185,562"
07/12/2022,"145.76","148.45","145.05","145.86","77,588,758"
